,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
1,Pandemic Legacy: Season 1,(2015),2,4,4,"[60, 60]",13,2.81,"[Rob Daviau, Matt Leacock]",[Chris Quilliams],"[Z-Man Games, Asterion Press, Devir, Filosofia Éditions, Gém Klub Kft., Hobby Japan, Jolly Thinkers, Lacerta, Lifestyle Boardgames Ltd, MINDOK]","[Environmental, Medical]","[Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers]"
2,Through the Ages: A New Story of Civilization,(2015),2,4,3,"[180, 240]",14,4.29,[Vlaada Chvátil],"[Jakub Politzer, Milan Vavroň]","[Cranio Creations, Czech Games Edition, Devir, DiceTree Games, Eagle-Gryphon Games, Gém Klub Kft., Heidelberger Spieleverlag, IELLO, MINDOK, One Moment Games, REBEL.pl]","[Card Game, Civilization, Economic]","[Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management]"
3,Twilight Struggle,(2005),2,2,2,"[180, 180]",13,3.53,"[Ananda Gupta, Jason Matthews]","[Viktor Csete, Rodger B. MacGowan, Chechu Nieto, Guillaume Ries, Mark Simonitch]","[GMT Games, (Self-Published), Asterion Press, Bard Centrum Gier, Chrononauts Games, Devir, DiceTree Games, MINDOK, Udo Grebe Gamedesign, Wargames Club Publishing]","[Modern Warfare, Political, Wargame]","[Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection]"
4,Terra Mystica,(2012),2,5,4,"[60, 150]",12,3.93,"[Jens Drögemüller, Helge Ostertag]",[Dennis Lohausen],"[Feuerland Spiele, Bard Centrum Gier, Cranio Creations, Devir, Filosofia Éditions, FunBox Jogos, HomoLudicus, MINDOK, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games, Z-Man Games, Zvezda]","[Civilization, Economic, Fantasy, Territory Building]","[Route/Network Building, Variable Phase Order, Variable Player Powers]"
5,Star Wars: Rebellion,(2016),2,4,2,"[180, 240]",14,3.56,[Corey Konieczka],[],"[ADC Blackfire Entertainment, Asterion Press, Edge Entertainment, Fantasy Flight Games, Galakta, Heidelberger Spieleverlag]","[Movies / TV / Radio theme, Science Fiction, Wargame]","[Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management]"
6,Scythe,(2016),1,5,4,"[90, 115]",14,3.32,[Jamey Stegmaier],[Jakub Rozalski],"[Stonemaier Games, Albi, Feuerland Spiele, Fire on Board Jogos, Ghenos Games, Maldito Games, Morning, PHALANX, Playfun Games]","[Civilization, Economic, Exploration, Fighting, Science Fiction, Territory Building]","[Area Control / Area Influence, Grid Movement, Storytelling, Variable Player Powers, Worker Placement]"
7,7 Wonders Duel,(2015),2,2,2,"[30, 30]",10,2.25,"[Antoine Bauza, Bruno Cathala]",[Miguel Coimbra],"[Repos Production, ADC Blackfire Entertainment, Asterion Press, Gém Klub Kft., Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, Ludicus, REBEL.pl]","[Ancient, Card Game, City Building, Civilization]","[Card Drafting, Set Collection]"
8,Caverna: The Cave Farmers,(2013),1,7,4,"[30, 210]",12,3.79,[Uwe Rosenberg],[Klemens Franz],"[Lookout Games, 999 Games, Crowd Games, Devir, Filosofia Éditions, Gemenot, Hobby Japan, HomoLudicus, Korea Boardgames co., Ltd., Lacerta, Ludofy Creative, Mayfair Games, MINDOK, Swan Panasia Co., Ltd., uplay.it edizioni]","[Animals, Economic, Fantasy, Farming]","[Tile Placement, Worker Placement]"
9,The Castles of Burgundy,(2011),2,4,2,"[30, 90]",12,3.04,[Stefan Feld],"[Julien Delval, Harald Lieske]","[alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Hobby World]","[Dice, Medieval, Territory Building]","[Dice Rolling, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order]"
10,Puerto Rico,(2002),2,5,4,"[90, 150]",12,3.29,[Andreas Seyfarth],"[Harald Lieske, Franz Vohwinkel]","[alea, Ravensburger Spieleverlag GmbH, Albi, Broadway Toys LTD, Devir, Filosofia Éditions, Gém Klub Kft., Giochi Uniti, Grow Jogos e Brinquedos, Kaissa Chess & Games, Lacerta, Lautapelit.fi, MINDOK, Rio Grande Games, Stratelibri, Swan Panasia Co., Ltd., Tilsit]","[City Building, Economic, Farming]",[Variable Phase Order]
11,Agricola,(2007),1,5,3–4,"[30, 150]",12,3.63,[Uwe Rosenberg],[Klemens Franz],"[Lookout Games, 999 Games, Brain Games, Compaya.hu - Gamer Café Kft., Devir, Filosofia Éditions, Hobby Japan, Hobby World, HomoLudicus, Korea Boardgames co., Ltd., Lacerta, Mayfair Games, MINDOK, Smart Ltd, Stratelibri, Swan Panasia Co., Ltd., Ystari Games, Z-Man Games]","[Animals, Economic, Farming]","[Card Drafting, Hand Management, Variable Phase Order, Variable Player Powers, Worker Placement]"
12,Mage Knight Board Game,(2011),1,4,1–2,"[150, 150]",14,4.20,[Vlaada Chvátil],"[J. Lonnee, Chris Raimo, Milan Vavroň]","[WizKids, Asmodee, Giochi Uniti, Intrafin Games, Lacerta, NECA, Pegasus Spiele, REXhry]","[Adventure, Exploration, Fantasy, Fighting]","[Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers]"
13,Through the Ages: A Story of Civilization,(2006),2,4,3,"[240, 240]",12,4.17,[Vlaada Chvátil],"[Richard Cortes, Paul Niemeyer]","[Czech Board Games, Czech Games Edition, DiceTree Games, Eagle-Gryphon Games, HomoLudicus, IELLO, MINDOK, Pegasus Spiele, Portal Games, Raven Distribution, REBEL.pl, Wargames Club Publishing]","[City Building, Civilization, Economic]","[Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management]"
14,War of the Ring (Second Edition),(2012),2,4,2,"[150, 180]",13,3.99,"[Roberto Di Meglio, Marco Maggi, Francesco Nepitello]","[Kristofer Bengtsson, John Howe, Fabio Maiorana]","[Ares Games, Devir, Galakta, Heidelberger Spieleverlag, Planplay, Red Glove]","[Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building]","[Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management]"
15,Blood Rage,(2015),2,4,4,"[60, 90]",14,2.90,[Eric M. Lang],"[Henning Ludvigsen, Mike McVey, Adrian Smith]","[CMON Limited, Asmodee, Asterion Press, BoardM Factory, Edge Entertainment, Galápagos Jogos, Game Harbor, Guillotine Games, Portal Games, REXhry]","[Fantasy, Fighting, Miniatures, Mythology]","[Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection]"
16,Star Wars: Imperial Assault,(2014),2,5,5,"[60, 120]",14,3.27,"[Justin Kemppainen, Corey Konieczka, Jonathan Ying]","[Arden Beckwith, Christopher Burdett, Rovina Cai, Joel Hustak, Michal Ivan, David Kegg, Henning Ludvigsen, Brynn Metheney, Ryan Valle, Ben Zweifel]","[Asterion Press, Edge Entertainment, Fantasy Flight Games, Galakta, Galápagos Jogos, Heidelberger Spieleverlag]","[Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame]","[Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers]"
17,Terraforming Mars,(2016),1,5,3–4,"[90, 120]",12,3.27,[Jacob Fryxelius],[Isaac Fryxelius],"[FryxGames, Ghenos Games, Intrafin Games, Maldito Games, REBEL.pl, Schwerkraft-Verlag, Stronghold Games]","[Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building]","[Card Drafting, Hand Management, Tile Placement, Variable Player Powers]"
18,Power Grid,(2004),2,6,4–5,"[120, 120]",12,3.29,[Friedemann Friese],"[Antonio Dessi, Lars-Arne ""Maura"" Kalusky, Prapach Lapamnuaysap, Harald Lieske]","[2F-Spiele, 999 Games, Albi, Arclight, Brain Games, Edge Entertainment, Galápagos Jogos, Gém Klub Kft., Giochi Uniti, Hobby World, Ideal Board Games, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lacerta, Lautapelit.fi, Rio Grande Games, Runadrake, Siam Board Games, Smart Ltd, Stratelibri, Swan Panasia Co., Ltd.]","[Economic, Industry / Manufacturing]","[Auction/Bidding, Route/Network Building]"
19,Eclipse,(2011),2,6,6,"[60, 200]",14,3.68,[Touko Tahkokallio],"[Ossi Hiekkala, Sampo Sikiö]","[Lautapelit.fi, Asmodee, Asterion Press, REBEL.pl, Ystari Games]","[Civilization, Fighting, Science Fiction, Space Exploration, Wargame]","[Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers]"
20,Robinson Crusoe: Adventures on the Cursed Island,(2012),1,4,3,"[90, 180]",14,3.69,[Ignacy Trzewiczek],"[Tomasz Bentkowski, Mateusz Bielski, Vincent Dutrait, Jerzy Ferdyn, Mateusz Kopacz, Mateusz Lenart, Maciej Mutwil, Zhao Run Quan, Rafał Szyma, Piotr Słaby, Ignacy Trzewiczek, Michał J. Zieliński]","[Portal Games, Conclave Editora, DiceTree Games, Edge Entertainment, Filosofia Éditions, Hobby World, MYBG Co., Ltd., Pegasus Spiele, uplay.it edizioni, Z-Man Games]","[Adventure, Exploration, Fighting, Novel-based]","[Action / Movement Programming, Co-operative Play, Dice Rolling, Modular Board, Simultaneous Action Selection, Tile Placement, Variable Player Powers, Worker Placement]"
21,Android: Netrunner,(2012),2,2,2,"[45, 45]",14,3.34,"[Richard Garfield, Lukas Litzsinger]","[Bruno Balixa, Ralph Beisner, Del Borovic, Gong Studios, Amelie Hutt, Henning Ludvigsen, Ed Mattinian, Dallas Mehlhoff, Adam Schumpert, Mark Anthony Taduran]","[Fantasy Flight Games, Arclight, Edge Entertainment, Galakta, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag, Korea Boardgames co., Ltd.]","[Bluffing, Card Game, Collectible Components, Science Fiction]","[Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers]"
22,Codenames,(2015),2,8,8,"[15, 15]",14,1.38,[Vlaada Chvátil],"[Stéphane Gantiez, Tomáš Kučerovský]","[Czech Games Edition, MINDOK, Bergsala Enigma, Brain Games, Cranio Creations, Devir, DiceTree Games, Fantasmagoria, GaGa Games, Gém Klub Kft., Golden Egg Games, Heidelberger Spieleverlag, Hobby Japan, IELLO, Kaissa Chess & Games, Lex Games, One Moment Games, REBEL.pl, White Goblin Games]","[Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game]","[Memory, Partnerships, Pattern Recognition, Press Your Luck]"
23,Le Havre,(2008),1,5,3,"[30, 150]",12,3.76,[Uwe Rosenberg],[Klemens Franz],"[Lookout Games, 999 Games, Filosofia Éditions, Hobby Japan, HomoLudicus, Korea Boardgames co., Ltd., Lacerta, Mayfair Games, MINDOK, Stratelibri, uplay.it edizioni, Ystari Games, Z-Man Games]","[City Building, Economic, Industry / Manufacturing, Nautical]",[Worker Placement]
24,Mansions of Madness: Second Edition,(2016),1,5,3–4,"[120, 180]",14,2.62,[Nikki Valens],"[Cristi Balanescu, Yoann Boissonnet, Anders Finér, Tony Foti, Corey Konieczka, Jacob Murray, Magali Villeneuve]","[Asterion Press, Edge Entertainment, Fantasy Flight Games, Galakta, Galápagos Jogos, Heidelberger Spieleverlag]","[Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle]","[Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers]"
25,Brass,(2007),2,4,4,"[120, 180]",13,3.87,[Martin Wallace],"[Peter Dennis, Eckhard Freytag]","[Warfrog Games, Eagle-Gryphon Games, FRED Distribution, Inc., Pegasus Spiele, Wargames Club Publishing, White Goblin Games]","[Economic, Industry / Manufacturing, Transportation]","[Hand Management, Route/Network Building]"
26,T.I.M.E Stories,(2015),2,4,4,"[90, 90]",12,2.68,"[Peggy Chassenet, Manuel Rozoy]","[Ben Carre, Vincent Dutrait, David Lecossu, Pascal Quidault]","[Space Cowboys, ADC Blackfire Entertainment, Asmodee, Asterion Press, Hobby Japan, REBEL.pl]","[Adventure, Mature / Adult, Medieval, Science Fiction]","[Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers, Voting]"
27,Tzolk'in: The Mayan Calendar,(2012),2,4,4,"[90, 90]",13,3.61,"[Simone Luciani, Daniele Tascini]",[Milan Vavroň],"[Czech Games Edition, Cranio Creations, GaGa Games, The Game Master BV, Heidelberger Spieleverlag, Hobby Japan, IELLO, Lex Games, MINDOK, REBEL.pl, Rio Grande Games, Zacatrus]","[Ancient, Civilization, Economic, Farming, Mythology]","[Set Collection, Worker Placement]"
28,Mechs vs. Minions,(2016),2,4,4,"[60, 90]",14,2.46,"[Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras]","[Danny Beck, Tysen Henderson]",[Riot Games],"[Fantasy, Fighting, Miniatures, Video Game Theme]","[Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers]"
29,Food Chain Magnate,(2015),2,5,3–4,"[120, 240]",14,4.20,"[Jeroen Doumen, Joris Wiersinga]","[Iris de Haan, Ynze Moedt]",[Splotter Spellen],"[Economic, Industry / Manufacturing]","[Modular Board, Route/Network Building, Simultaneous Action Selection]"
30,Orléans,(2014),2,4,4,"[90, 90]",12,3.11,[Reiner Stockhausen],[Klemens Franz],"[dlp games, Arclight, Cranio Creations, Matagot, Swan Panasia Co., Ltd., Tasty Minstrel Games, White Goblin Games]","[Medieval, Religious, Travel]","[Deck / Pool Building, Point to Point Movement]"
31,Keyflower,(2012),2,6,4,"[90, 120]",12,3.34,"[Sebastian Bleasdale, Richard Breese]","[Juliet Breese, Jo Breese, Gemma Tegelaers]","[R&D Games, Ediciones MasQueOca, FoxMind, Game Harbor, Game Salute, Gigamic, HUCH! & friends, Quined Games]","[City Building, Economic, Nautical, Renaissance, Territory Building]","[Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement]"
32,7 Wonders,(2010),2,7,4,"[30, 30]",10,2.34,[Antoine Bauza],[Miguel Coimbra],"[Repos Production, ADC Blackfire Entertainment, Asmodee, Asterion Press, Galápagos Jogos, Gém Klub Kft., Hobby Japan, Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, REBEL.pl]","[Ancient, Card Game, City Building, Civilization]","[Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers]"
33,Concordia,(2013),2,5,4,"[100, 100]",13,3.15,[Mac Gerdts],"[Marina Fahrenbach, Mac Gerdts]","[PD-Verlag, 999 Games, Cranio Creations, Ediciones MasQueOca, Egmont Polska, Heidelberger Spieleverlag, New Games Order, LLC, Rio Grande Games, Ystari Games]","[Ancient, Economic, Nautical]","[Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement]"
34,The Voyages of Marco Polo,(2015),2,4,4,"[40, 100]",12,3.18,"[Simone Luciani, Daniele Tascini]",[Dennis Lohausen],"[Hans im Glück Verlags-GmbH, 999 Games, Albi, Arclight, Devir, Filosofia Éditions, Giochi Uniti, Swan Panasia Co., Ltd., Z-Man Games]","[Dice, Economic, Medieval, Travel]","[Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement]"
35,Caylus,(2005),2,5,3,"[60, 150]",12,3.82,[William Attia],"[Cyril Demaegd, Arnaud Demaegd, Mike Doyle (I)]","[Ystari Games, Brain Games, Edge Entertainment, Esdevium, hobbity.eu, Hobby Japan, HUCH! & friends, Korea Boardgames co., Ltd., Lautapelit.fi, Quined White Goblin Games, Rio Grande Games, uplay.it edizioni, What's Your Game?, White Goblin Games]","[City Building, Economic, Medieval]",[Worker Placement]
36,Dead of Winter: A Crossroads Game,(2014),2,5,4,"[45, 210]",14,3.00,"[Jonathan Gilmour, Isaac Vega]","[David Richards, Fernanda Suárez, Peter Wocken]","[Plaid Hat Games, Arclight, Cube Factory of Ideas, Edge Entertainment, Galápagos Jogos, Game Harbor, Gemenot, Heidelberger Spieleverlag, Korea Boardgames co., Ltd., MINDOK, Raven Distribution]","[Bluffing, Horror, Zombies]","[Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Storytelling, Variable Player Powers, Voting]"
37,Eldritch Horror,(2013),1,8,4,"[120, 240]",14,3.32,"[Corey Konieczka, Nikki Valens]","[Anders Finér, David Griffith, Ed Mattinian, Patrick McEvoy, Dallas Mehlhoff, Emilio Rodriguez, Magali Villeneuve, Drew Whitmore]","[Fantasy Flight Games, Arclight, Edge Entertainment, Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Korea Boardgames co., Ltd., Wargames Club Publishing]","[Adventure, Fantasy, Fighting, Horror, Novel-based]","[Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers]"
38,Twilight Imperium (Third Edition),(2005),3,6,6,"[180, 300]",12,4.22,[Christian T. Petersen],"[Scott Schomburg, Brian Schomburg, Tyler Walpole]",[Fantasy Flight Games],"[Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame]","[Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting]"
39,Viticulture Essential Edition,(2015),1,6,3–4,"[90, 90]",13,2.96,"[Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone]","[Jacqui Davis, David Montgomery, Beth Sobel]","[Feuerland Spiele, Ludofy Creative, Maldito Games, Stonemaier Games]","[Economic, Farming]","[Hand Management, Variable Phase Order, Worker Placement]"
40,Patchwork,(2014),2,2,2,"[15, 30]",8,1.71,[Uwe Rosenberg],[Klemens Franz],"[Lookout Games, Mayfair Games, 999 Games, Compaya.hu - Gamer Café Kft., Crowd Games, Funforge, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lacerta, Ludicus, Ludofy Creative, Maldito Games, MINDOK, REBEL.pl, uplay.it edizioni, Нескучные игры]","[Abstract Strategy, Puzzle]","[Tile Placement, Time Track]"
41,Dominant Species,(2010),2,6,4,"[120, 240]",14,4.03,[Chad Jensen],"[Chad Jensen, Rodger B. MacGowan, Chechu Nieto, Eric Williams (I)]","[GMT Games, Asterion Press, Filosofia Éditions, Udo Grebe Gamedesign, Wargames Club Publishing]","[Animals, Environmental, Prehistoric]","[Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement]"
42,Roll for the Galaxy,(2014),2,5,3–4,"[45, 45]",13,2.76,"[Wei-Hwa Huang, Thomas Lehmann]","[Martin Hoffmann, Claus Stephan, Mirko Suzuki]","[Games Factory Publishing, Gigamic, Pegasus Spiele, Rio Grande Games]","[Civilization, Dice, Economic, Science Fiction, Space Exploration]","[Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers, Worker Placement]"
43,Race for the Galaxy,(2007),2,4,4,"[30, 60]",12,2.97,[Thomas Lehmann],"[Martin Hoffmann, Claus Stephan, Mirko Suzuki]","[Rio Grande Games, ABACUSSPIELE, Albi, Gabinete Lúdico, Galápagos Jogos, Gamesinitaly, Ghenos Games, Giochix.it, Hobby Japan, Hobby World, Korea Boardgames co., Ltd., REBEL.pl, Smart Ltd, Wargames Club Publishing, Ystari Games]","[Card Game, Civilization, Economic, Science Fiction, Space Exploration]","[Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers]"
44,El Grande,(1995),2,5,5,"[60, 120]",12,3.09,"[Wolfgang Kramer, Richard Ulrich]",[Doris Matthäus],"[Hans im Glück Verlags-GmbH, 999 Games, Användbart Litet Företag, Descartes Editeur, Filosofia Éditions, Gabinete Lúdico, Rio Grande Games]",[Renaissance],"[Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection]"
45,Lords of Waterdeep,(2012),2,5,3–4,"[60, 120]",12,2.51,"[Peter Lee, Rodney Thompson]","[Eric Belisle, Steven Belledin, Zoltan Boros, Noah Bradley, Eric Deschamps, Wayne England, Tony Foti, Todd Harris, Ralph Horsley, Tyler Jacobson, Ron Lemen, Howard Lyon, Warren Mahy, Patrick McEvoy, Jim Nelson, William O'Connor, Adam Paquette, Lucio Parrillo, Dave Rapoza, Richard Sardinha, Mike Schley, Andrew Silver, Anne Stokes, Gábor Szikszai, Matias Tapia, Kevin Walker, Tyler Walpole, Eva Widermann, Eric Williams (I), Matt Wilson, Sam Wood, Ben Wootten, James Zhang]",[Wizards of the Coast],"[City Building, Fantasy]","[Set Collection, Take That, Worker Placement]"
46,Five Tribes,(2014),1,4,none,"[40, 80]",13,2.89,[Bruno Cathala],[Clément Masson],"[Days of Wonder, Asterion Press, REBEL.pl]","[Arabian, Fantasy, Mythology]","[Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order]"
47,Dominion: Intrigue,(2009),2,4,3,"[30, 30]",13,2.44,[Donald X. Vaccarino],"[Matthias Catrein, Julien Delval, Martin Hoffmann, Tomasz Jedruszek, Alexander Jung, Lars-Arne ""Maura"" Kalusky, Ryan Laukat, Harald Lieske, Dennis Lohausen, Michael Menzel, Marcel-André Casasola Merkle, Claus Stephan, Christof Tisch, Franz Vohwinkel]","[Rio Grande Games, 999 Games, Albi, ASS Altenburger Spielkarten, Bard Centrum Gier, Devir, Filosofia Éditions, Games Factory Publishing, Gém Klub Kft., Giochi Uniti, Hans im Glück Verlags-GmbH, Hobby Japan, Hobby World, Korea Boardgames co., Ltd., Lautapelit.fi, Stupor Mundi, Swan Panasia Co., Ltd., Vennerød Forlag AS]","[Card Game, Medieval]","[Card Drafting, Deck / Pool Building, Hand Management]"
48,Star Wars: X-Wing Miniatures Game,(2012),2,4,2,"[30, 45]",14,2.47,"[Steven Kimball, James Kniffen, Corey Konieczka, Jason Little, Brady Sadler, Adam Sadler]","[Matt Allsopp, Sacha Angel Diener, Jon Bosco, Matt Bradbury, Blake Henriksen, Jason Juta, Lucasfilm Ltd., Henning Ludvigsen, Jorge Maese, Dallas Mehlhoff, Scott Murphy, David A. Nash, Matthew Starbuck, Nicholas Stohlman, Angela Sung]","[Fantasy Flight Games, cutia.ro, Edge Entertainment, Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, Korea Boardgames co., Ltd., Martinex, Peliko, Stratelibri, Wargames Club Publishing]","[Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame]","[Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers]"
49,Great Western Trail,(2016),2,4,3,"[75, 150]",12,3.73,[Alexander Pfister],[Andreas Resch],"[eggertspiele, 999 Games, Delta Vision Publishing, Ediciones MasQueOca, Gigamic, Lacerta, Pegasus Spiele, Stronghold Games, uplay.it edizioni]",[American West],"[Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement]"
50,A Feast for Odin,(2016),1,4,none,"[30, 120]",12,3.82,[Uwe Rosenberg],[Dennis Lohausen],"[Feuerland Spiele, Cranio Creations, Devir, Filosofia Éditions, Lacerta, Mandala Jogos, テンデイズゲームズ (Ten Days Games), White Goblin Games, Z-Man Games]","[Economic, Industry / Manufacturing, Medieval, Puzzle]","[Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement]"
51,Arkham Horror: The Card Game,(2016),1,2,2,"[60, 120]",14,3.02,"[Nate French, Matthew Newman]","[Christopher Hosch, Ignacio Bazán Lazcano, Henning Ludvigsen, Mercedes Opheim, Zoe Robinson, Evan Simonet]","[Asterion Press, Edge Entertainment, Fantasy Flight Games, Galakta, Heidelberger Spieleverlag]","[Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based]","[Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers]"
52,Battlestar Galactica,(2008),3,6,5,"[120, 300]",10,3.23,[Corey Konieczka],"[Kevin Childress, Andrew Navaro, Brian Schomburg, WiL Springer]","[Fantasy Flight Games, Edge Entertainment, Editrice Giochi, Galakta, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag]","[Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents]","[Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers]"
53,Fields of Arle,(2014),1,2,2,"[60, 120]",13,3.90,[Uwe Rosenberg],[Dennis Lohausen],"[Feuerland Spiele, 999 Games, Filosofia Éditions, Games Factory Publishing, テンデイズゲームズ (Ten Days Games), Z-Man Games]","[Economic, Farming, Industry / Manufacturing]",[Worker Placement]
54,Dominion,(2008),2,4,3,"[30, 30]",13,2.38,[Donald X. Vaccarino],"[Matthias Catrein, Julien Delval, Tomasz Jedruszek, Ryan Laukat, Harald Lieske, Michael Menzel, Marcel-André Casasola Merkle, Claus Stephan, Christof Tisch]","[Rio Grande Games, 999 Games, Albi, Bard Centrum Gier, Conclave Editora, cutia.ro, Devir, Filosofia Éditions, Games Factory Publishing, Gém Klub Kft., Hans im Glück Verlags-GmbH, Hobby Japan, Hobby World, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Martinex, Runadrake, Schmidt Spiele, Smart Ltd, Stupor Mundi, Swan Panasia Co., Ltd., Vennerød Forlag AS, Ystari Games]","[Card Game, Medieval]","[Card Drafting, Deck / Pool Building, Hand Management]"
55,Sherlock Holmes Consulting Detective,(1981),1,8,2,"[60, 120]",10,2.77,"[Raymond Edwards, Suzanne Goldberg, Gary Grady]","[Arnaud Demaegd, Nils Gulliksson, Neriac, Stefan Thulin]","[Asmodee, Asterion Press, Casper, Chessex, Descartes Editeur, Edge Entertainment, International Team, Kaissa Chess & Games, KOSMOS, Sleuth Publications, Space Cowboys, Ystari Games, 二見書房 ( Futami Shobo Publishing Co., Ltd. )]","[Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents]","[Co-operative Play, Storytelling]"
56,Tigris & Euphrates,(1997),2,4,4,"[90, 90]",12,3.53,[Reiner Knizia],"[Bascu, Christine Conrad, Doris Matthäus, Tom Thiel, Ricarda Thiel, Stephen Graham Walsh]","[Hans im Glück Verlags-GmbH, 999 Games, Devir, Edge Entertainment, Fantasy Flight Games, Giochi Uniti, Heidelberger Spieleverlag, Lacerta, Matagot, Mayfair Games, Pegasus Spiele, Smart Ltd, Top Licence Games, Wargames Club Publishing]","[Abstract Strategy, Ancient, Civilization, Territory Building]","[Area Control / Area Influence, Hand Management, Set Collection, Tile Placement]"
57,Trajan,(2011),2,4,4,"[90, 90]",12,3.67,[Stefan Feld],[Jo Hartwig],"[Ammonit Spiele, Asterion Press, FoxMind, Gigamic, HUCH! & friends, Hutter Trade GmbH + Co KG, Passport Game Studios, Quined Games]","[Ancient, Political]","[Area Movement, Card Drafting, Hand Management, Set Collection]"
58,Russian Railroads,(2013),2,4,4,"[90, 120]",12,3.41,"[Helmut Ohley, Leonhard ""Lonny"" Orgler]","[Martin Hoffmann, Claus Stephan]","[Hans im Glück Verlags-GmbH, 999 Games, Asterion Press, Bard Centrum Gier, Devir, Filosofia Éditions, Hobby World, MINDOK, Z-Man Games]","[Industry / Manufacturing, Trains]",[Worker Placement]
