,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
12970,Armada,(1978),2,2,2,"[480, 480]",12,3.00,"[Greg Costikyan, Eric Goldberg, Sterling S. Hart]",[Redmond A. Simonsen],"[SPI (Simulations Publications, Inc.)]","[Pike and Shot, Wargame]","[Dice Rolling, Hex-and-Counter]"
12971,Nine Men's Morris,(-1400),2,2,2,"[20, 20]",6,1.84,[(Uncredited)],[Dieter Zander],"[ABRA, Adrenaline Brush Ltd, Auf/Zu, Bibelot Games, Blatz, Bohemia, Carlit, Chad Valley Co Ltd., Channel Craft, Chase Games Inc., Clark & Sowdon, Clemens Gerhards, Creative Crafthouse, Dean Designed, Dilemma Games, Djeco, Dourios, Educa Borras, F.X. Schmid, Galt Toys, The Game Crafter, LLC, Gamma Two Games, Geoludie, Great American Trading Company, Green Board Game Co., HABA - Habermaaß GmbH, Hausser, Hemsby's, Hexagames (I), Historische Spiele Zander, House of Marbles, J & L Randall, Ltd., K.E.Leg, Kadon Enterprises, Klee, L. P. Septímio, LuduScience, MacGregor Historic Games, Marx Toys, Masters Games, Michael Stanfield, Milton Bradley, Mitra, Noris Spiele, Oficina do Aprendiz, Old Time Games, Pacific Game Company, Paddock Game Company, Papita, Parker Brothers, Pelikan, Peri Spiele, Philos, Piatnik, Pin International, Rapidoats, Ravensburger Spieleverlag GmbH, Regionalia Verlag GmbH, Robertsons, Rogue Publishing, Schaper, Schmidt Spiele, Siso Trend, Square Root Games, Stancraft Products, Super Accord, U3, University Games, W.G. Young & Co., White Horse, Whittlecraft, Wm F. Drueke & Sons, Inc., Wood Expressions, Zulu Maraba Toy Co.]","[Abstract Strategy, Movies / TV / Radio theme]",[Point to Point Movement]
12972,Kojak Detective Game,(1975),2,4,none,"[30, 30]",8,2.00,[(Uncredited)],[],"[Alga, Arrow Games Ltd, Editrice Giochi, MB Jeux, MB Spellen, MB Spiele, Milton Bradley, Sesam]",[Movies / TV / Radio theme],[Roll / Spin and Move]
12973,Magdar,(2003),2,4,none,"[20, 20]",9,1.36,[Kevin Wilson],"[Jesper Ejsing, Scott Nicely, Brian Schomburg]","[Fantasy Flight Games, Smart Ltd]",[Fantasy],"[Dice Rolling, Modular Board, Point to Point Movement, Press Your Luck]"
12974,The Amazing Race: DVD Board Game,(2006),2,4,none,"[Time:, Time:]",13,1.25,[(Uncredited)],[],[Pressman Toy Corp.],"[Movies / TV / Radio theme, Travel]",[]
12975,"Before I Kill You, Mister Spy...",(1996),3,6,4–5,"[30, 30]",12,1.27,[James Ernest],[Cheyenne Wright],[Cheapass Games],"[Card Game, Spies/Secret Agents]",[]
12976,Harry Potter and the Sorcerer's Stone Trivia Game,(2000),2,6,4,"[60, 60]",8,1.50,[Tyler Kenney],[],[Mattel],"[Children's Game, Fantasy, Movies / TV / Radio theme, Novel-based, Trivia]",[Roll / Spin and Move]
12977,The Newlywed Game,(1967),4,8,8,"[30, 30]",18,1.46,[(Uncredited)],[Design Edge],"[(Unknown), Endless Games (I), Hasbro, Pressman Toy Corp.]","[Humor, Memory, Movies / TV / Radio theme, Party Game]","[Memory, Partnerships, Storytelling]"
12978,Star Wars: Return of the Jedi – Battle at Sarlacc's Pit,(1983),2,4,2,"[30, 30]",7,1.13,[(Uncredited)],[],[Parker Brothers],"[Adventure, Children's Game, Fighting, Movies / TV / Radio theme, Science Fiction]",[Roll / Spin and Move]
12979,Darkness Falls on Sevinpold,(2002),2,7,none,"[Time:, Time:]",9,1.67,[Don Donovan],[],"[Sevinpold Castles, Inc.]","[Exploration, Fantasy]","[Partnerships, Roll / Spin and Move]"
12980,HeroQuest 25th Anniversary,Edition,P,ayers,none,"[Time:, Time:]",––,2.75,[],"[Igor Heras, Adolfo Navarro, Daniel Jiménez Villalba]","[(Unpublished), GameZone Miniatures]","[Fantasy, Fighting, Miniatures]","[Dice Rolling, Grid Movement, Partnerships]"
12981,Malefiz,(1960),2,6,4,"[60, 60]",8,1.21,[Werner Schöppner],"[Sławomir Jezierski, Herbert Leupin, Walter Pepperle, Jan Van Heusden, Alfons van Heusden]","[(Unknown), Alga, Creative Crafthouse, Deco Play, Fisher Price, Granna, Hallmark Games, Mitra, Monkey Pod Games, Oficina do Aprendiz, Otto Maier Verlag, Plasticart, Ravensburger Spieleverlag GmbH, ROMBOL, Vedes, Vileda GmbH, Whitman, Woodstock Spiele, [touch]]","[Abstract Strategy, Racing]",[Roll / Spin and Move]
