,user,board_game,rating
0,0,279,6.0
1,0,291,5.0
2,0,541,6.0
3,0,792,8.9
4,0,911,6.0
5,0,1346,6.0
6,0,1435,9.0
7,0,1475,7.0
8,0,1673,5.0
9,0,1777,6.0
10,0,2009,7.0
11,0,2324,5.0
12,0,2329,6.0
13,0,2376,6.0
14,0,2514,6.0
15,0,2722,6.0
16,0,2756,5.0
17,0,2862,7.0
18,0,3005,6.0
19,0,3099,6.0
20,0,3219,6.0
21,0,3470,5.0
22,0,3498,6.0
23,0,3524,6.0
24,0,3547,6.0
25,0,3558,6.0
26,0,3612,8.75
27,0,3774,7.0
28,0,3930,4.0
29,0,4005,7.0
30,0,4024,6.0
31,0,4096,7.0
32,0,4161,5.0
33,0,4252,8.65
34,0,4258,8.15
35,0,4261,6.0
36,0,4428,6.0
37,0,4965,6.0
38,0,5091,8.7
39,0,5248,5.0
40,0,5335,5.0
41,0,5435,8.45
42,0,5442,6.0
43,0,5444,6.0
44,0,5446,6.0
45,0,5448,7.0
46,0,5450,8.05
47,0,5452,8.1
48,0,5454,7.0
49,0,5456,6.0
50,0,5458,8.2
51,0,5460,7.0
52,0,5462,7.0
53,0,5464,7.0
54,0,5465,8.3
55,0,5469,7.0
56,0,5471,6.0
57,0,5474,7.0
58,0,5659,6.0
59,0,5818,7.0
60,0,6048,5.0
61,0,6182,6.0
62,0,6188,6.0
63,0,6198,6.0
64,0,6334,7.0
65,0,6337,6.0
66,0,6370,6.0
67,0,6469,6.0
68,0,6513,6.0
69,0,6888,7.0
70,0,6890,7.0
71,0,6969,7.0
72,0,6972,6.0
73,0,7018,6.0
74,0,7088,10.0
75,0,7108,7.0
76,0,7133,6.0
77,0,7138,6.0
78,0,7158,7.0
79,0,7267,7.0
80,0,7273,7.0
81,0,7699,8.6
82,0,7703,6.0
83,0,7903,6.0
84,0,8115,7.0
85,0,8144,7.0
86,0,8162,6.0
87,0,8281,6.0
88,0,8282,6.0
89,0,8758,7.0
90,0,8768,5.0
